Ward,lat,lon
Shivajinagar,12.988702,77.605873
Neelasandra,12.95116,77.614644
Banashankari Temple,12.913352,77.569832
Vijaynagar,12.972093,77.547044
Mathikere,13.03259,77.561034
Rajajinagar,12.994599,77.550193
Kammanahalli,13.008374,77.635993
Basavanagudi,12.937375,77.568733
T. Dasarahalli,13.045358,77.514736
Lakkasandra,12.941109,77.604804
Ulsoor,12.979704,77.619822
Malleshwaram,13.014074,77.561673
Domlur,12.963361,77.63804
Hebbala,13.034054,77.593019
Adugodi,12.943239,77.613079
Ejipura,12.942316,77.627034
Nagavara,13.031509,77.616696
BTM Layout,12.911838,77.609345
J. P. Nagar,12.910882,77.594507
Hosakerehalli,12.927797,77.539506
Sanjaynagar,13.039301,77.5778
Jayanagar,12.937634,77.58942
Shanthinagar,12.957324,77.603705
Radhakrishna Temple,13.038305,77.570572
Bommanahalli,12.900741,77.621212
Koramangala,12.93134,77.624649
Banaswadi,13.014699,77.648927
C. V. Raman Nagar,12.98395,77.665203
Marathahalli,12.950743,77.691495
HBR Layout,13.03202,77.630127
Vignananagar,12.978493,77.68177
HSR Layout,12.913718,77.646426
Byatarayanapura,13.061071,77.597371
Shettyhalli,13.067997,77.519409
Garudacharpalya,12.985901,77.717283
Ramamurthynagar,13.033613,77.676539
Attur,13.102805,77.560038
Vidyaranyapura,13.077092,77.569454
Kempegowda Ward,13.116188,77.599713
Rajarajeshwarinagar,12.918757,77.522142
Hagadooru,12.96607,77.748365
Kadugudi,12.990688,77.757909
Doddanekkundi,12.968183,77.707824
Horamavu,13.044561,77.653271
Hoodi,13.022376,77.705493
Begur,12.865,77.62207
Varthur,12.935373,77.733614
Jakkur,13.09625,77.623314
Hemmigepura,12.891903,77.505013
Bellandur,12.922874,77.680209
