Ward,NDVI
Shivajinagar,0.048
Neelasandra,0.048
Banashankari Temple,0.053
Vijaynagar,0.054
Mathikere,0.08
Rajajinagar,0.083
Kammanahalli,0.101
Basavanagudi,0.114
T. Dasarahalli,0.119
Lakkasandra,0.162
Ulsoor,0.166
Malleshwaram,0.175
Domlur,0.176
Hebbala,0.178
Adugodi,0.184
Ejipura,0.189
Nagavara,0.197
BTM Layout,0.204
J. P. Nagar,0.206
Hosakerehalli,0.207
Sanjaynagar,0.208
Jayanagar,0.22
Shanthinagar,0.227
Radhakrishna Temple,0.228
Bommanahalli,0.23
Koramangala,0.266
Banaswadi,0.269
C. V. Raman Nagar,0.28
Marathahalli,0.292
HBR Layout,0.296
Vignananagar,0.328
HSR Layout,0.338
Byatarayanapura,0.342
Shettyhalli,0.344
Garudacharpalya,0.345
Ramamurthynagar,0.349
Attur,0.355
Vidyaranyapura,0.355
Kempegowda Ward,0.359
Rajarajeshwarinagar,0.359
Hagadooru,0.359
Kadugudi,0.362
Doddanekkundi,0.362
Horamavu,0.365
Hoodi,0.37
Begur,0.374
Varthur,0.376
Jakkur,0.377
Hemmigepura,0.377
Bellandur,0.378
