Ward,Water_Access_Score
Shivajinagar,0.05
Neelasandra,0.05
Banashankari Temple,0.105
Vijaynagar,0.114
Mathikere,0.257
Rajajinagar,0.268
Kammanahalli,0.337
Basavanagudi,0.38
T. Dasarahalli,0.397
Lakkasandra,0.507
Ulsoor,0.515
Malleshwaram,0.533
Domlur,0.537
Hebbala,0.539
Adugodi,0.553
Ejipura,0.562
Nagavara,0.575
BTM Layout,0.589
J. P. Nagar,0.592
Hosakerehalli,0.594
Sanjaynagar,0.596
Jayanagar,0.614
Shanthinagar,0.627
Radhakrishna Temple,0.628
Bommanahalli,0.632
Koramangala,0.684
Banaswadi,0.688
C. V. Raman Nagar,0.701
Marathahalli,0.716
HBR Layout,0.721
Vignananagar,0.758
HSR Layout,0.769
Byatarayanapura,0.773
Shettyhalli,0.775
Garudacharpalya,0.776
Ramamurthynagar,0.78
Attur,0.786
Vidyaranyapura,0.786
Kempegowda Ward,0.79
Rajarajeshwarinagar,0.791
Hagadooru,0.791
Kadugudi,0.793
Doddanekkundi,0.794
Horamavu,0.797
Hoodi,0.801
Begur,0.805
Varthur,0.807
Jakkur,0.808
Hemmigepura,0.808
Bellandur,0.809
